,Quarterly Dates,Net Income,Net Sales,Operating Income,Profit,Year,Quarter,Daily Dates,Open,High,Low,Close,Volume
412,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-08-07,209.32,209.5,206.76,207.11,25587387
413,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-08-06,208.0,209.25,207.07,209.07,25425387
414,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-08-03,207.03,208.74,205.4803,207.99,33447396
415,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-08-02,200.58,208.38,200.35,207.39,62404012
416,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-08-01,199.13,201.76,197.31,201.5,67935716
417,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-31,190.3,192.14,189.34,190.29,39373038
418,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-30,191.9,192.2,189.07,189.91,21029535
419,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-27,194.99,195.19,190.1,190.98,24023972
420,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-26,194.61,195.96,193.61,194.21,19075964
421,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-25,193.0602,194.85,192.43,194.82,16826483
422,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-24,192.45,193.6601,192.05,193.0,18697898
423,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-23,190.68,191.96,189.56,191.61,15989365
424,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-20,191.78,192.43,190.17,191.44,20706042
425,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-19,189.69,192.55,189.69,191.88,20286752
426,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-18,191.78,191.8,189.93,190.4,16393381
427,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-17,189.75,191.87,189.2,191.45,15534523
428,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-16,191.52,192.65,190.415,190.91,15043110
429,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-13,191.08,191.84,190.9,191.33,12519792
430,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-12,189.53,191.41,189.31,191.03,18041131
431,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-11,188.5,189.7799,187.61,187.88,18831470
432,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-10,190.71,191.28,190.1801,190.35,15939149
433,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-09,189.5,190.68,189.3,190.58,19756634
434,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-06,185.42,188.434,185.2,187.97,17485245
435,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-05,185.26,186.41,184.28,185.4,16604248
436,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-03,187.79,187.95,183.54,183.92,13954806
437,2018-09-28,14125000000.0,62900000000.0,70898000000.0,24084000000.0,2018,3,2018-07-02,183.82,187.3,183.42,187.18,17731343
438,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-30,220.9,224.58,220.79,223.97,26318583
439,2019-09-27,13686000000.0,64040000000.0,63930000000.0,24313000000.0,2019,3,2019-09-27,220.54,220.96,217.2814,218.82,25361285
